n,deg_mean_r,clust_mean_r,mis_r,count,gamma1_std,gamma2_std,beta1_std,beta2_std,gamma1_mean,gamma2_mean,beta1_mean,beta2_mean,approx_mean,models
17,2.0,0.0,0.529,9,0.8835249923174044,0.35105933823926855,0.9695910206561758,0.5947910945203526,1.1515622042622558,2.3652766706897332,2.0430722642759838,1.6690888862972693,0.761102226854585,['watts']
17,4.0,0.147,0.353,3,1.2408739312102508,0.022198311235869753,0.7856613983347268,0.36067088259201985,1.4690801886827565,2.1217873740315354,2.687990833769341,1.7317904827668729,0.8204599280854795,['regular']
18,1.889,0.0,0.556,3,1.2749927050367926,0.8758125616306843,0.5219122631269523,0.2978772247253846,1.71901414476237,1.7063606469462511,2.21107615486429,1.4691566439214956,0.788004038869377,['barabasi']
18,1.889,0.0,0.611,2,0.028494685222386792,0.07331264455081629,0.01254318432418476,0.0004328018869752459,0.3021227783064251,2.4390353437249734,2.8152645445129507,1.8154894523731473,0.7866989116422136,['barabasi']
18,2.0,0.0,0.444,4,0.27023327323146545,0.23244903757234206,0.0519313577231427,0.18935111306114336,0.7914306396224625,2.0094399150125053,2.8451005174645347,2.121092425540196,0.8215539894723167,"['regular', 'watts']"
18,2.0,0.0,0.5,4,0.8112688190946918,0.42682934461795674,0.7405406240550712,0.5831031436120404,1.0089087040000304,2.31505937502539,2.2629937787983208,1.7194817599598449,0.7897257243420562,['watts']
18,3.0,0.056,0.389,3,0.6273584454934036,1.6945820247079164,1.4665603766631456,0.7813389464551774,2.2732647532454333,1.2678617091581925,1.7173212380139926,2.0409996934280397,0.8195219602689826,['regular']
18,4.0,0.056,0.333,2,0.0718669056188829,0.2595810096480133,0.7149032463291444,0.7267047714937781,1.2723232600235705,1.9055442482309006,2.2862364278378773,1.810322135101837,0.8457685524937051,['regular']
18,4.0,0.194,0.333,2,0.8471799911827891,0.07560777078113333,0.008467629437814985,0.7608850751705184,2.1878680499596967,1.7584369017161041,1.2177778668258163,1.7527797771756823,0.8232245680220128,"['watts', 'regular']"
19,1.895,0.0,0.632,2,1.1564616962843988,0.39716389837908683,1.1510739858576542,0.398665596154418,1.0868043862943195,2.7457189712071335,1.97645255364595,2.109446830027157,0.7094303738373267,['barabasi']
19,2.0,0.0,0.421,3,0.0002167306749468765,0.0004911116309057701,0.00013021448689493935,0.00022164254506510221,0.9267129724771594,1.8927824018068156,2.819306215119381,2.2157200992265866,0.8796306404868917,['regular']
19,2.0,0.0,0.474,2,1.0148354203741023,0.49385372660312077,1.2932465969403966,0.3795127342696865,1.1860973509878152,2.6106266923607406,2.0579978466603475,2.151926525876564,0.6746526158343653,['watts']
19,2.0,0.0,0.526,3,0.8946819460969813,0.3461283176169897,1.3152228902221181,0.5730060684193476,1.0059643173636736,2.4815343468558866,1.558350617835172,1.5343115287103688,0.7522585589391237,['watts']
19,17.684,0.983,0.105,2,1.851494305010646e-08,2.5777284977638193e-09,1.9000093533863586e-08,3.172416772368122e-08,2.459927947922477,1.7768678495009407,1.571259950259428,1.5699835703601477,0.9333490051202666,['gnm']
