n,deg_mean_r,clust_mean_r,mis_r,count,gamma1_std,gamma2_std,beta1_std,beta2_std,gamma1_mean,gamma2_mean,beta1_mean,beta2_mean,approx_mean,models
8,5.25,0.775,0.25,1,0.0,0.0,0.0,0.0,1.5720079872872912,1.3794334531144918,2.0351471409722546,1.8452767401794745,0.8731616674828858,['gnm']
8,5.75,0.877,0.375,1,0.0,0.0,0.0,0.0,2.7937593650424732,1.686669239817156,3.141592653589793,2.4540050071036053,0.8181983993563336,['gnm']
8,6.0,0.836,0.25,2,0.0072973605442645945,0.006909590355832039,0.011375744633227863,0.008525843857223043,3.009767563712302,2.7622471929332617,1.9015743598733448,1.7400653630255256,0.884985925150886,['gnm']
8,6.0,0.844,0.25,1,0.0,0.0,0.0,0.0,2.970440063987229,2.105424393347221,1.8278366680136222,1.5705707796766453,0.8551274857422867,['gnm']
8,6.0,0.87,0.25,1,0.0,0.0,0.0,0.0,2.9954750004214947,2.70622413545642,1.8780885027371166,1.7267066707315117,0.939005605362278,['gnm']
8,6.25,0.864,0.25,1,0.0,0.0,0.0,0.0,2.9581224812575826,2.226995432532039,2.518689371904494,2.463283474054035,0.878963960675037,['gnm']
8,6.5,0.94,0.25,1,0.0,0.0,0.0,0.0,2.8376340760745453,1.7055832046508996,3.141592653589793,2.832725869117426,0.88488696057766,['gnm']
8,6.75,0.964,0.25,1,0.0,0.0,0.0,0.0,1.7556856089633572,3.1051580070680873,2.657928663828007,0.8337865818929235,0.9304960262247732,['gnm']
9,1.778,0.0,0.444,2,0.8748079383269529,0.4588965826988795,0.7790927455080412,0.6476557661863641,2.216619341191484,2.2849975957718027,1.496633618682797,2.2905313790664605,0.7819414001687122,['barabasi']
9,1.778,0.0,0.556,6,0.8412965168022785,0.4409226744260491,1.0036322460564815,0.5865840864450295,0.8079679596160213,2.373827949604727,1.9536079328407905,2.1000918306031595,0.7705622502885342,['barabasi']
9,1.778,0.0,0.667,4,1.0168472500273575,0.558101732854248,0.9058407498867637,0.6541400614001691,0.7820604643786068,2.3937566019999306,2.147137164143101,1.9873826776646442,0.7538391100053605,['barabasi']
